SKU;Product Name;Published;Featured;Short Description;Allow Customer Reviews;Regular Price;Sale Price;Category;
OC0364474;FROZEN- MOCHILA ESCOLAR;yes;yes;Materiais: Plástico/Tecido<br>Cor: Rosa<br>Idade: >4;no;14535.000;;BRINQUEDOS > MENINA > Escolar;
OC0367534;MINNIONS-DRONE COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Amarelo/Azul<br>Idade: >14;no;40076.040;;BRINQUEDOS > MENINO > Telecomando;
OC0367536;DRONE COM RC 4 AXIS;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho/Preto/Amarelo<br>Idade: >14;no;42636.000;;BRINQUEDOS > MENINO > Drones;
OC0367537;SPIDERMAN-DRONE COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho/Azul<br>Idade: >14;no;42636.000;;BRINQUEDOS > MENINO > Drones;
OC0368269;CAPITÃO AMÉRICA - DRONE COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho/Azul<br>Idade: >14;no;42636.000;;BRINQUEDOS > MENINO > Drones;
OC0368934;DORAEMON- CARRO COM RC/MUSICA E LUZES;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho/Azul/Amarelo<br>Idade: >14;no;20464.680;;BRINQUEDOS > MENINO > Telecomando;
OC0369119;SPIDERMAN-BONECO COM RC, MUSICA E LUZES;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho<br>Idade: >4;no;37923.810;;BRINQUEDOS > MENINO > Telecomando;
OC0369206;MINNIONS-CARRO COM LUZES E RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Amarelo<br>Idade: >14;no;13651.640;;BRINQUEDOS > MENINO > Telecomando;
OC0369208;CARS- CARRO COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Vermelho<br>Idade: >3;no;14495.940;;BRINQUEDOS > MENINO > Telecomando;
OC0369231;FAST& FURIOUS- CARRO COM MUSICA E LUZES E RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho<br>Idade: >6;no;17054.400;;BRINQUEDOS > MENINO > Telecomando;
OC0369257;BENTLEY- CARRO COM VOLANTE = OC0379786;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Laranja<br>Idade: >14;no;93799.200;;BRINQUEDOS > MENINO > Telecomando;
OC0369258;MERCEDES SLS AMG COM R/C;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Preto/Vermelho<br>Idade: >14;no;51163.200;;BRINQUEDOS > MENINO > Telecomando;
OC0369261;BENTLEY - CARRO COM COMANDO;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho<br>Idade: >8;no;51163.200;;BRINQUEDOS > MENINO > Telecomando;
OC0369379;BEN 10-CARRO COM RC,MUSICA E LUZES;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Verde/Preto<br>Idade: >14;no;25581.600;;BRINQUEDOS > MENINO > Telecomando;
OC0369438;BOX QUADRADA ACESS. ESCOLARES HOMEM ARANHA;yes;yes;Materiais: Papelão/Plástico/Madeira<br>Cor: Azul<br>Idade: >4;no;11948.000;;BRINQUEDOS > MENINO > Escolar;
OC0369458;DRONE CAP.AMERICA / IRON MAN;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Preto<br>Idade: >14;no;38488.080;;BRINQUEDOS > MENINO > Drones;
OC0369467;DRONE COM RC, CAMARA WIFI;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Preto/Verde<br>Idade: >14;no;98062.800;;BRINQUEDOS > MENINO > Drones;
OC0372247;PICKUP WARRIOR C/ R/C;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Verde/Vermelho<br>Idade: >8;no;44294.920;;BRINQUEDOS > MENINO > Telecomando;
OC0375110;LOL-CONJ. DE BONECAS COM QUARDA ROUPA  ACS;yes;yes;Materiais: Plástico/Borracha<br>Cor: Rosa<br>Idade: >3;no;35813.940;;BRINQUEDOS > MENINA > Bonecas;
OC0377588;ROBOT COM RC;yes;yes;Materiais: Plástico/Componentes Eletronicos<br>Cor: Branco/Vermelho<br>Idade: +14;no;36115.200;;BRINQUEDOS > MENINO;
OC0383702;LADYBUG - BONECA 11" COM MÚSICA;yes;yes;Materiais: Plástico/Tecido<br>Cor: Vermelho/Preto<br>Idade: >3;no;11973.530;;BRINQUEDOS > MENINA > Bonecas;
OC0383703;LADYBUG - BONECA 11" COM MÚSICA;yes;yes;Materiais: Plástico/Tecido<br>Cor: Vermelhp/Preto<br>Idade: >3;no;11975.040;;BRINQUEDOS > MENINA > Bonecas;
OC0409635;MOANA - BONECA 28"COM LUZES E MÚSICA;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul<br>Idade: >3;no;23023.140;;BRINQUEDOS > MENINA > Bonecas;
OC0415996;MOANA-BONECA14" COM LUZES E MÚSICA;yes;yes;Materiais: Plástico/Tecido<br>Cor: Vermelho/Bege<br>Idade: >4;no;11628.000;;BRINQUEDOS > MENINO > Bonecas;
OC0415997;LUNA-BONECA14";yes;yes;Materiais: Plástico/Tecido<br>Cor: Branco/Rosa<br>Idade: >3;no;9690.000;;BRINQUEDOS > MENINA > Bonecas;
OC0415999;VAMPIRINHA-BONECA 10"COM LUZES;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul/Roxo<br>Idade: >3;no;14535.000;;BRINQUEDOS > MENINA > Bonecas;
OC0416005;Vampirinha Doll boneca de 14 com luzes e musica;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul/Roxo<br>Idade: >3;no;20349.000;;BRINQUEDOS > MENINA > Bonecas;
OC0416006;Ladybug boneca 18 com musica;yes;yes;Materiais: Plástico/Tecido<br>Cor: Vermelho/Preto<br>Idade: >3;no;8721.000;;BRINQUEDOS > MENINA > Bonecas;
OC0416009;FROZEN _ CONJUNTO MAKE UP;yes;yes;Materiais: Maquiagem<br>Cor: Rosa<br>Idade: >5;no;8552.750;;BRINQUEDOS > MENINA > Beleza;
OC0416011;SOY LUNA - CONJUNTO DE MAKE UP;yes;yes;Materiais: Plástico/Tecido<br>Cor: Azul<br>Idade: >5;no;6841.600;;BRINQUEDOS > MENINA > Beleza;
